Access Point,/access,MENU,fa-rss fa-lg
Access Point Type,/access/type,MENU,fa-rss-square fa-lg
Authorisation,/authorisation,MENU,fa-cogs fa-lg
Sectors,/sector,MENU,fa-sitemap fa-lg
Period Configurations,/period/config,MENU,fa-calendar fa-lg
Periods,/period,MENU,fa-calendar-o fa-lg
Licensee,/licensee,MENU,fa-university fa-lg
Users,/user,MENU,fa-users fa-lg
Menu Section,/menu,MENU,fa-bars fa-lg
Form Definitions,/form,MENU,fa-pencil-square-o fa-lg
Form Activation,/form/activation,MENU,fa-check-square-o fa-lg
Data Capture,/form/submission,MENU,fa-database fa-lg
Form Data Processing,/form/processing,MENU,fa-list-alt fa-lg
Reports,/report,MENU,
Licence Types,/licence/type,MENU,fa-file-text-o fa-lg
Licences,/licence,MENU,fa-certificate fa-lg
Complaint Types,/complaint/type,MENU,
Document Types,/document/type,MENU,fa-file-text fa-lg
Documents,/document,MENU,fa-file-o fa-lg
Authorisation Search,POST /authorisation/search,API,
Authorisation Menu Section,GET /authorisation/{authorisationId}/{menuSectionId},API,
Authorisation Get All,GET /authorisation/all,API,
LicenceTypeRestController save,POST /licence/type,API,
AccessPointTypeRestController search,POST /access/search,API,
AccessPointTypeRestController  getAll,GET /access/type/all,API,
AuthorisationRestController assignMenuSection,GET /authorisation/{authorisationId}/{menuSectionId},API,
AccessPointTypeRestController getAllPaged,GET /access/type/search/page/{pageNumber}/size/{pageSize},API,
AccessPointRestController  findById,GET /access/id/{id},API,
AccessPointRestController   getAll,GET /access/all,API,
AccessPointRestController   getAllPaged,GET /access/page/{pageNumber}/size/{pageSize},API,
AccessPointRestController   pagedSearch,GET /access/search/page/{pageNumber}/size/{pageSize},API,
AccessPointRestController   remove,DELETE /access/id/{id},API,
AccessPointRestController save,POST /access,API,
AccessPointRestController search,POST /access/search,API,
AccessPointTypeRestController pagedSearch,GET /access/type/search/page/{pageNumber}/size/{pageSize},API,
AccessPointTypeRestController findById,GET /access/type/id/{id},API,
AuthorisationRestController findById,GET /authorisation/id/{id},API,
AuthorisationRestController findByRolesAndUrl,POST /authorisation/find-by-roles-url,API,
AuthorisationRestController getAccessTypeCodeAuthorisations,GET /authorisation/authorised,API,
AuthorisationRestController getAll,GET /authorisation/all,API,
AuthorisationRestController getAllPaged,GET /authorisation/page/{pageNumber}/size/{pageSize},API,
AuthorisationRestController search,POST /authorisation/search,API,
AuthorisationRestController save,POST /authorisation/,API,
AuthorisationRestController remove,DELETE /authorisation/id/{id},API,
DocumentTypeRestController findById,GET /document/type,API,
DocumentTypeRestController getAll,GET /document/type/all,API,
DocumentTypeRestController getAllPaged,GET /document/type/page/{pageNumber}/size/{pageSize},API,
DocumentTypeRestController remove,DELETE /document/type,API,
DocumentTypeRestController save,POST /document/type,API,
DocumentTypeRestController search,GET /document/type/search,API,
DocumentRestController findById,GET /document/{id},API,
DocumentRestController getAll,GET /document/all,API,
DocumentRestController getAllPaged,GET /document/page/{pageNumber}/size/{pageSize},API,
DocumentRestController save,POST /document,API,
DocumentRestController remove,DELETE /document/{id},API,
FormActivationRestController findById,GET /form/activation/id/{id},API,
FormActivationRestController getAll,GET /form/activation/all,API,
FormActivationRestController getAllPaged,GET /form/activation/page/{pageNumber}/size/{pageSize},API,
FormActivationRestController remove,DELETE /form/activation/{id},API,
FormActivationRestController save,POST /form/activation/{id},API,
Form Field,/form/field,API,
SubmissionRestController getAll,GET /form/submission/all,API,
FormFieldRestController getAllPaged,GET /form/field/page/{pageNumber}/size/{pageSize},API,
FormFieldRestController save,POST/form/field/{id},API,
LicenceTypeRestController search,POST /licence/type/search,API,
NoteRestController getFormSubmissionNotes,POST form/submission/note,API,
LicenceTypeRestController getAllPaged,GET /licence/type/page/{pageNumber}/size/{pageSize},API,
LicenceTypeRestController getAll,GET /licence/type/all,API,
LicenceTypeRestController findById,GET /licence/type/{id},API,
LicenceRestController search,POST /licence/search,API,
FormSectionRestController search,POST /form/section/search,API,
LicenceRestController save,POST /licence,API,
LicenceRestController remove,DELETE /licence/{id},API,
FormFieldRestController deleteDataField,DELETE /form/field/{id},API,
Form Submission,/form/submission,API,
SubmissionRestController addDataFields,POST /form/submission/fields,API,
LicenceRestController getAllPaged,GET /licence/page/{pageNumber}/size/{pageSize},API,
SubmissionRestController addDataField,POST /form/submission/field,API,
LicenceRestController getAll,GET /licence/all,API,
LicenceRestController findById,GET /licence/{id},API,
AccessPointTypeRest,POST /access/type,API,
LicenseeRestController save ,POST /licensee,API,
SubmissionRestController getAllPaged,GET /form/submission/page/{pageNumber}/size/{pageSize},API,
SubmissionRestController findById,GET /form/submission/{id},API,
LicenseeRestController search,POST /licensee/search,API,
LicenseeRestController getAll,GET /licensee/all,API,
LicenseeRestController getAllPaged,GET /licensee/page/{pageNumber}/size/{pageSize},API,
LicenseeRestController save,POST /licensee,API,
LicenseeShareholderRestController updateShareholder,PATCH /licensee/shareholder/{id}/{shareholderId},API,
SectorFormRestController create,POST /sector/form,API,
SectorFormRestController findByForm,GET /sector/form/{formId}/formId/{formId},API,
SectorFormRestController findBySector,GET /sector/form/{sectorId},API,
SectorFormRestController getAll,GET /sector/form/all,API,
SectorFormRestController remove,DELETE /sector/form/{id},API,
SectorFormRestController updateForm,PATCH /sector/form/{id}/{formId},API,
SectorFormRestController updateSector,PATCH /sector/form/{id}/{sectorId},API,
PeriodRestController findById,GET /period/{id},API,
PeriodRestController getAll,GET /period,API,
LicenseeFormRestController updateForm,PATCH /licensee/form/{id}/{formId},API,
SubmissionRestController deleteDataField,DELETE /form/submission/fields,API,
LicenceTypeRestController remove,DELETE /licence/type/{id},API,
SubmissionRestController remove,DELETE /form/submission/{id},API,
SubmissionRestController save,DELETE /form/submission,API,
SubmissionRestController search,DELETE /form/submission/search,API,
LicenseeRestController removeSector,DELETE /licensee/sector/delete/{licenseeSectorId},API,
LicenseeRestController remove,DELETE /licensee/{id},API,
LicenseeFormRestController remove,DELETE licensee/form/{id},API,
LicenseeFormRestController getAll,GET licensee/form/all,API,
LicenseeFormRestController findByLicensee,GET licensee/form/{licenseeId},API,
LicenseeFormRestController findById,GET licensee/form/{id},API,
LicenseeFormRestController findByForm,GET licensee/form/{formId}/formId/{formId},API,
LicenseeRestController getLicences,GET /licensee/licences/{id},API,
LicenseeRestController getForms,GET /licensee/forms/{id},API,
LicenseeRestController getFormSubmissions,GET /licensee/submissions/{id},API,
LicenseeRestController getReportConfigurations,GET /licensee/report/configs/{id},API,
LicenseeRestController getSectors,GET /licensee/sectors/{id},API,
LicenseeRestController getShareholders,GET /licensee/shareholders/{id},API,
LicenseeFormRestController create,POST licensee/form/,API,
LicenseeFormRestController updateLicensee,PATCH licensee/form/{id}/{licenseeId},API,
MenuSectionRestController save,POST /menu/section,API,
MenuSectionRestController search,POST /menu/section/search,API,
MenuSectionRestController getAll,GET /menu/section/all,API,
MenuSectionRestController getAllPaged,GET /menu/section/page/{pageNumber}/size/{pageSize},API,
MenuSectionRestController findById,GET /menu/section/id/{id},API,
MenuSectionRestController remove,DELETE /menu/section/id/{id},API,
MenuSectionRestController findByAuthorisationRoles,GET /menu/section/authorised,API,
ReportConfigRestController save,POST /report/config,API,
ReportConfigRestController search,POST /report/config/search,API,
ReportConfigRestController findById,GET /report/config/{id},API,
ReportConfigRestController remove,DELETE /report/config/{id},API,
ReportConfigRestController getAllPaged,GET /report/config/page/{pageNumber}/size/{pageSize},API,
ReportConfigRestController getAll,GET /report/config/all,API,
ShareholderRestController save,POST /shareholder,API,
ShareholderRestController search,POST /shareholder/search,API,
ShareholderRestController getAll,GET /shareholder/all,API,
ShareholderRestController getAllPaged,GET /shareholder/page/{pageNumber}/size/{pageSize},API,
ShareholderRestController findById,GET /shareholder/{id},API,
ShareholderRestController remove,DELETE /shareholder/{id},API,
SectorRestController save,POST /sector,API,
SectorRestController search,POST /sector/search,API,
SectorRestController findById,GET /sector/{id},API,
SectorRestController remove,DELETE /sector/{id},API,
SectorRestController getAll,GET /sector/all,API,
SectorRestController getAllPaged,GET /sector/page/{pageNumber}/size/{pageSize},API,
SectorRestController addLicensee,GET /sector/{sectorId}/add/licensee/{licenseeId},API,
AuthController getAccessTokenString,POST /auth/token_string,API,
AuthController signout,POST /auth/signout,API,
AuthController signin,POST /auth/signin,API,
AuthController getUserInfo,POST /auth/info,API,
AuthController getRoles,GET /auth/roles,API,
AuthController getRealmUrl,GET /auth/get-realm-url,API,
LicenseeSectorRestController findById,GET /licensee/sector/{id},API,
LicenseeSectorRestController remove,DELETE /licensee/sector/{id},API,
LicenseeSectorRestController getAll,GET /licensee/sector/all,API,
LicenseeRestController getDocuments,GET /licensee/documents/{id},API,
LicenseeRestController getReports,GET /licensee/reports/{id},API,
LicenseeSectorRestController findByLicensee,GET /licensee/sector/{licenseeId},API,
LicenseeSectorRestController findBySector,GET /licensee/sector/{sectorId}/sectorId/{sectorId},API,
Edit Authorisation Delete Button,/auth/edit-authorisation/{button:delete},BUTTON,
Edit Form Submission Submit Button,/form/submission/edit-form-submission/{button:submit},BUTTON,
Edit Form Submission Delete Button,/form/submission/edit-form-submission/{button:delete},BUTTON,
Edit Form Submission Return Button,/form/submission/edit-form-submission/{button:return},BUTTON,
Edit Form Submission Accept Button,/form/submission/edit-form-submission/{button:accept},BUTTON
